Municipios;Indicadores de renta media y mediana;Total
41001 Aguadulce;Renta neta media por persona;9.603
41002 Alanís;Renta neta media por persona;8.627
41003 Albaida del Aljarafe;Renta neta media por persona;8.729
41004 Alcalá de Guadaíra;Renta neta media por persona;10.727
41005 Alcalá del Río;Renta neta media por persona;9.581
41006 Alcolea del Río;Renta neta media por persona;8.551
41007 Algaba, La;Renta neta media por persona;9.651
41008 Algámitas;Renta neta media por persona;9.085
41009 Almadén de la Plata;Renta neta media por persona;9.657
41010 Almensilla;Renta neta media por persona;10.548
41011 Arahal;Renta neta media por persona;9.670
41012 Aznalcázar;Renta neta media por persona;9.358
41013 Aznalcóllar;Renta neta media por persona;9.284
41014 Badolatosa;Renta neta media por persona;8.207
41015 Benacazón;Renta neta media por persona;9.135
41016 Bollullos de la Mitación;Renta neta media por persona;10.901
41017 Bormujos;Renta neta media por persona;12.522
41018 Brenes;Renta neta media por persona;9.081
41019 Burguillos;Renta neta media por persona;8.550
41020 Cabezas de San Juan, Las;Renta neta media por persona;8.582
41021 Camas;Renta neta media por persona;10.314
41022 Campana, La;Renta neta media por persona;8.843
41023 Cantillana;Renta neta media por persona;8.837
41024 Carmona;Renta neta media por persona;10.250
41025 Carrión de los Céspedes;Renta neta media por persona;9.929
41026 Casariche;Renta neta media por persona;8.982
41027 Castilblanco de los Arroyos;Renta neta media por persona;9.012
41028 Castilleja de Guzmán;Renta neta media por persona;12.542
41029 Castilleja de la Cuesta;Renta neta media por persona;10.950
41030 Castilleja del Campo;Renta neta media por persona;9.976
41031 Castillo de las Guardas, El;Renta neta media por persona;10.066
41032 Cazalla de la Sierra;Renta neta media por persona;9.708
41033 Constantina;Renta neta media por persona;9.195
41034 Coria del Río;Renta neta media por persona;9.200
41035 Coripe;Renta neta media por persona;9.426
41036 Coronil, El;Renta neta media por persona;9.457
41037 Corrales, Los;Renta neta media por persona;9.310
41038 Dos Hermanas;Renta neta media por persona;11.486
41039 Écija;Renta neta media por persona;9.777
41040 Espartinas;Renta neta media por persona;13.749
41041 Estepa;Renta neta media por persona;10.192
41042 Fuentes de Andalucía;Renta neta media por persona;9.647
41043 Garrobo, El;Renta neta media por persona;9.877
41044 Gelves;Renta neta media por persona;12.747
41045 Gerena;Renta neta media por persona;10.202
41046 Gilena;Renta neta media por persona;10.101
41047 Gines;Renta neta media por persona;13.037
41048 Guadalcanal;Renta neta media por persona;8.797
41049 Guillena;Renta neta media por persona;9.690
41050 Herrera;Renta neta media por persona;9.814
41051 Huévar del Aljarafe;Renta neta media por persona;10.243
41052 Lantejuela;Renta neta media por persona;8.851
41053 Lebrija;Renta neta media por persona;9.537
41054 Lora de Estepa;Renta neta media por persona;10.393
41055 Lora del Río;Renta neta media por persona;9.328
41056 Luisiana, La;Renta neta media por persona;9.748
41057 Madroño, El;Renta neta media por persona;11.829
41058 Mairena del Alcor;Renta neta media por persona;10.523
41059 Mairena del Aljarafe;Renta neta media por persona;13.458
41060 Marchena;Renta neta media por persona;9.921
41061 Marinaleda;Renta neta media por persona;8.494
41062 Martín de la Jara;Renta neta media por persona;8.703
41063 Molares, Los;Renta neta media por persona;8.585
41064 Montellano;Renta neta media por persona;8.623
41065 Morón de la Frontera;Renta neta media por persona;10.002
41066 Navas de la Concepción, Las;Renta neta media por persona;9.267
41067 Olivares;Renta neta media por persona;9.236
41068 Osuna;Renta neta media por persona;9.965
41069 Palacios y Villafranca, Los;Renta neta media por persona;8.720
41070 Palomares del Río;Renta neta media por persona;12.671
41071 Paradas;Renta neta media por persona;9.355
41072 Pedrera;Renta neta media por persona;9.291
41073 Pedroso, El;Renta neta media por persona;9.544
41074 Peñaflor;Renta neta media por persona;9.385
41075 Pilas;Renta neta media por persona;8.922
41076 Pruna;Renta neta media por persona;7.935
41077 Puebla de Cazalla, La;Renta neta media por persona;9.072
41078 Puebla de los Infantes, La;Renta neta media por persona;9.037
41079 Puebla del Río, La;Renta neta media por persona;9.123
41080 Real de la Jara, El;Renta neta media por persona;8.731
41081 Rinconada, La;Renta neta media por persona;10.164
41082 Roda de Andalucía, La;Renta neta media por persona;9.706
41083 Ronquillo, El;Renta neta media por persona;10.365
41084 Rubio, El;Renta neta media por persona;9.544
41085 Salteras;Renta neta media por persona;11.572
41086 San Juan de Aznalfarache;Renta neta media por persona;9.878
41087 Sanlúcar la Mayor;Renta neta media por persona;9.995
41088 San Nicolás del Puerto;Renta neta media por persona;9.538
41089 Santiponce;Renta neta media por persona;9.880
41090 Saucejo, El;Renta neta media por persona;8.730
41091 Sevilla;Renta neta media por persona;13.085
41092 Tocina;Renta neta media por persona;9.326
41093 Tomares;Renta neta media por persona;14.906
41094 Umbrete;Renta neta media por persona;9.692
41095 Utrera;Renta neta media por persona;9.871
41096 Valencina de la Concepción;Renta neta media por persona;12.872
41097 Villamanrique de la Condesa;Renta neta media por persona;8.525
41098 Villanueva del Ariscal;Renta neta media por persona;9.624
41099 Villanueva del Río y Minas;Renta neta media por persona;8.805
41100 Villanueva de San Juan;Renta neta media por persona;8.920
41101 Villaverde del Río;Renta neta media por persona;8.888
41102 Viso del Alcor, El;Renta neta media por persona;9.532
41901 Cañada Rosal;Renta neta media por persona;9.437
41902 Isla Mayor;Renta neta media por persona;8.223
41903 Cuervo de Sevilla, El;Renta neta media por persona;8.400
41904 Palmar de Troya, El;Renta neta media por persona;7.299
